"model"	"n_parameters"	"Thuringia_AIC"	"Thuringia_BIC"	"Picardy_AIC"	"Picardy_BIC"
"Gaussian"	2	599.313855243138	603.568124013228	674.639761587299	679.453200081828
"Negative exponential"	1	510.442672764265	512.56980714931	635.982721090701	638.389440337966
"Exponential power"	3	548.389383829424	554.770786984559	746.725611536056	753.945769277849
"Weibull"	2	388.038167433943	392.292436204034	501.167440984707	505.980879479235
"Gamma"	2	388.085604100499	392.339872870589	503.70172220477	508.515160699299
"Binomial + Gaussian"	3	498.566447138915	504.94785029405	597.203932993992	604.424090735784
"Binomial + Negative exponential"	2	464.512715378681	468.766984148771	616.850349891518	621.663788386046
"Binomial + Exponential power"	4	479.84312827317	490.35166581335	591.617068137611	603.243945126668
"Binomial + Weibull"	3	466.450947581328	472.832350736463	589.478979976416	596.699137718209
"Binomial + Gamma"	3	466.498377993444	472.879781148579	592.013278247169	599.233435988962
"Binomial + Log-normal"	3	465.719975964227	470.101379119362	601.224144859802	606.444302601595
